security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AAOI,Computer and Technology,Electronics - Semiconductors,0.55,278160.0,4. p999_trade_value,2.0,1828,35__0,35,2,0.0,18000.0,26779.25,51813.0,276390.22,365304.61,382836.96,384590.2
AAPL,Computer and Technology,Computer - Micro Computers,0.55,795832.0,3. p9999_trade_value,44.0,437563,55__0,55,1,0.0,16600.0,25374.5,64504.56,245915.7,784767.28,1644362.5,2375287.93
ABAT,Computer and Technology,Electronics - Miscellaneous Products,0.55,8000.0,1. p999999_trade_value,1.0,21,15__0,15,3,0.0,6895.0,7000.0,7800.0,7980.0,7998.0,7999.8,7999.98
ACIW,Computer and Technology,Computer - Software,0.55,5216.0,1. p999999_trade_value,1.0,2,5__0,5,3,0.0,5044.4,5130.2,5198.84,5214.28,5215.83,5215.98,5216.0
ACLS,Computer and Technology,Electronics - Manufacturing Machinery,0.55,249000.0,1. p999999_trade_value,1.0,329,25__0,25,2,0.0,19848.0,38619.0,113942.6,233964.15,247496.42,248849.64,248984.96
ACMR,Computer and Technology,Semiconductor Equipment - Material Services,0.55,,,,490,25__0,25,2,0.0,17838.0,23416.5,48036.96,67034.2,72403.42,72940.34,72994.03
ACN,Computer and Technology,Computers - IT Services,0.55,,,,4048,35__0,35,2,0.0,13960.8,19925.5,52967.7,240813.85,671906.0,679190.6,679919.06
ADBE,Computer and Technology,Computer - Software,0.55,,,,47204,45__1,45,1,1.0,16249.1,25500.0,70203.7,252453.75,942194.05,1652405.13,1694745.51
ADI,Computer and Technology,Semiconductor - Analog and Mixed,0.55,,,,2514,35__1,35,2,1.0,20735.0,34823.25,90978.75,368288.22,452128.43,461012.84,461901.28
ADP,Computer and Technology,Internet - Software,0.55,,,,510,25__0,25,2,0.0,14264.1,20169.5,60088.44,155476.05,166747.61,167874.76,167987.48
ADSK,Computer and Technology,Internet - Software,0.55,,,,4163,35__0,35,2,0.0,13446.6,21223.5,51789.84,184574.91,344365.15,413381.52,420283.15
AEHR,Computer and Technology,Electronics - Measuring Instruments,0.55,26070.000000000004,1. p999999_trade_value,1.0,175,20__0,20,2,0.0,10000.0,11254.5,18399.9,25361.82,25999.18,26062.92,26069.29
AEIS,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,0.55,13769.999999999998,8. p75_trade_value,34.0,136,20__3,20,2,3.0,19180.0,36675.0,243124.5,456358.05,484493.81,487307.38,487588.74
AEYE,Computer and Technology,Internet - Software,0.55,,,,22,15__0,15,3,0.0,9905.0,12037.75,15177.81,15903.38,15975.94,15983.19,15983.92
AFRM,Computer and Technology,Internet - Software,0.55,8760.0,8. p75_trade_value,5162.0,20629,45__2,45,1,2.0,16335.0,25800.0,66948.48,494034.0,4317756.0,4545000.0,4545000.0
AGYS,Computer and Technology,Computer - Integrated Systems,0.55,,,,16,10__0,10,3,0.0,9000.0,17350.0,29230.0,31903.0,32170.3,32197.03,32199.7
AI,Computer and Technology,Computers - IT Services,0.55,,,,7857,40__2,40,2,2.0,18421.8,39200.0,325000.0,1248621.12,2362375.52,2453972.55,2463132.26
AIP,Computer and Technology,Internet - Software,0.55,8640.0,8. p75_trade_value,3.0,9,10__0,10,3,0.0,10792.0,11376.0,11843.2,11948.32,11958.83,11959.88,11959.99
AIRG,Computer and Technology,Communication - Components,0.55,,,,1,0__0,0,3,0.0,8680.0,8680.0,8680.0,8680.0,8680.0,8680.0,8680.0
