security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
BE,Oils-Energy,Alternative Energy - Other,0.55,573560.0,1. p999999_trade_value,1.0,2429,35__0,35,2,0.0,13400.0,19688.0,58190.76,254662.68,517735.42,567977.54,573001.75
ENVX,Oils-Energy,Alternative Energy - Other,0.55,220000.0,1. p999999_trade_value,1.0,1486,30__2,30,2,2.0,12819.5,18849.0,38085.4,137104.42,207778.45,218777.84,219877.78
EXE,Oils-Energy,Alternative Energy - Other,0.55,60000.0,6. p95_trade_value,39.0,773,30__0,30,2,0.0,16460.0,58560.0,320376.0,614852.0,690585.2,698158.52,698915.85
FCEL,Oils-Energy,Alternative Energy - Other,0.55,45000.0,1. p999999_trade_value,1.0,74,20__0,20,2,0.0,8730.0,12385.6,26633.2,43163.32,44816.33,44981.63,44998.16
FLNC,Oils-Energy,Alternative Energy - Other,0.55,,,,146,20__0,20,2,0.0,17749.5,27986.0,55095.5,62097.5,62684.75,62743.47,62749.35
HNRG,Oils-Energy,Alternative Energy - Other,0.55,49335.0,6. p95_trade_value,7.0,133,20__0,20,2,0.0,15564.0,41334.0,85000.0,101266.32,103492.63,103715.26,103737.53
LTBR,Oils-Energy,Alternative Energy - Other,0.55,7600.0,8. p75_trade_value,152.0,609,30__2,30,2,2.0,12500.0,17418.0,28063.6,53200.87,58366.99,58883.6,58935.26
NNE,Oils-Energy,Alternative Energy - Other,0.55,,,,2735,35__1,35,2,1.0,18180.0,33012.0,102890.4,270268.28,434748.64,466834.86,470043.49
OPTT,Oils-Energy,Alternative Energy - Other,0.55,48000.0,1. p999999_trade_value,1.0,59,20__0,20,2,0.0,8985.0,10260.0,28842.6,46084.26,47808.43,47980.84,47998.08
TLN,Oils-Energy,Alternative Energy - Other,0.55,,,,4032,35__1,35,2,1.0,22800.0,34844.5,169367.6,661769.61,900918.54,945091.85,949509.19
TPL,Oils-Energy,Alternative Energy - Other,0.55,125050.0,1. p999999_trade_value,1.0,1326,30__2,30,2,2.0,14000.0,21575.0,52365.0,110835.0,124380.88,124983.09,125043.31
VTLE,Oils-Energy,Alternative Energy - Other,0.55,7830.0,8. p75_trade_value,42.0,166,20__0,20,2,0.0,13827.5,26220.0,42295.0,57927.5,58892.75,58989.28,58998.93
