security,num_trades,p900000_trade_value,p950000_trade_value,p990000_trade_value,p999000_trade_value,p999900_trade_value,p999990_trade_value,p999999_trade_value,trade_volume_bin,cluster,final_cluster,trade_volume_bin_rank,sector,industry
ADC,4,6622.0,6811.0,6962.2,6996.22,6999.621999999999,6999.9622,6999.99622,5,0.0,5__0,13,Finance,REIT and Equity Trust - Retail
ADCT,1,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,0,0.0,0__0,14,Medical,Medical - Biomedical and Genetics
ADI,2582,20294.000000000004,34000.0,90213.75000000006,367829.0879999991,451861.31579999946,460986.1315799964,461898.6131579925,35,3.0,35__3,7,Computer and Technology,Semiconductor - Analog and Mixed
ADM,324,10993.499999999998,16550.55,80090.65999999942,363794.51250000444,425179.4512499956,431317.94512500556,431931.79451249214,25,1.0,25__1,9,Consumer Staples,Agriculture - Operations
ADMA,313,21000.0,50000.0,388766.3999999997,660559.5839999997,668574.4583999997,669375.945840001,669456.0945839997,25,0.0,25__0,9,Medical,Medical - Biomedical and Genetics
ADNT,12,12575.700000000003,12745.150000000001,12757.03,12759.703,12759.9703,12759.99703,12759.999703,10,0.0,10__0,12,Auto-Tires-Trucks,Automotive - Original Equipment
ADP,509,14278.199999999999,20198.999999999978,60245.280000000246,155500.66000000047,166750.06600000046,167875.0066000009,167987.50065999938,25,1.0,25__1,9,Computer and Technology,Internet - Software
ADSK,4229,13456.000000000004,21044.999999999993,51127.04000000044,184401.72799999983,343149.0999999485,413259.9100000619,420270.9910000397,35,0.0,35__0,7,Computer and Technology,Internet - Software
ADT,13,16620.000000000004,17840.0,17840.0,17840.0,17840.0,17840.0,17840.0,10,0.0,10__0,12,Industrial Products,Security and Safety Services
ADTN,14,11319.000000000004,13126.749999999998,13909.35,14085.435000000001,14103.043500000002,14104.804350000004,14104.980435000001,10,0.0,10__0,12,Business Services,Technology Services
ADUS,39,8896.000000000002,11463.000000000004,19649.99999999998,22215.000000000025,22471.500000000015,22497.15,22499.714999999975,15,0.0,15__0,11,Medical,Medical - Outpatient and Home Healthcare
AEE,43,12000.0,16011.899999999998,19227.6,19783.26,19838.826000000005,19844.3826,19844.93826,15,0.0,15__0,11,Utilities,Utility - Electric Power
AEHR,176,10000.0,11251.25,18351.25,25357.749999999956,25998.775000000067,26062.877500000057,26069.287749999952,20,0.0,20__0,10,Computer and Technology,Electronics - Measuring Instruments
AEIS,136,19180.0,36675.0,243124.5000000002,456358.05000000214,484493.80500000156,487307.38049999956,487588.73805,20,1.0,20__1,10,Computer and Technology,Semiconductor Equipment - Wafer Fabrication
AEM,1855,13500.0,21314.999999999953,82156.8,321153.99999999796,1680127.5545998828,1949923.655460319,1976903.2655458478,35,4.0,35__4,7,Basic Materials,Mining - Gold
AEO,362,14994.600000000002,26627.899999999994,184749.99999999965,230631.1040000005,246205.51040000113,247762.95104000095,247918.6951040001,25,1.0,25__1,9,Retail-Wholesale,Retail - Apparel and Shoes
AEP,250,13749.999999999985,24026.34999999998,125299.40999999992,153366.48000000004,154818.648,154963.86480000004,154978.38648000002,25,1.0,25__1,9,Utilities,Utility - Electric Power
AER,240,14818.199999999997,31887.749999999996,209609.81999999942,302452.49999999977,313745.2500000001,314874.5250000005,314987.45250000036,25,1.0,25__1,9,Transportation,Transportation - Equipment and Leasing
AES,527,18503.000000000007,31432.499999999996,92500.0,167834.04800000283,196783.40480000098,199678.3404799987,199967.83404799778,25,1.0,25__1,9,Utilities,Utility - Electric Power
AESI,16,7450.0,8125.0,9625.0,9962.499999999998,9996.25,9999.625,9999.962499999998,10,0.0,10__0,12,Oils-Energy,Oil and Gas - Integrated - United States
AEVA,33,19484.4,56299.99999999998,68304.79999999999,69704.47999999998,69844.44799999999,69858.4448,69859.84447999999,15,0.0,15__0,11,Auto-Tires-Trucks,Automotive - Original Equipment
AEYE,24,11501.499999999996,15408.149999999992,51262.31999999998,60746.23200000001,61694.62320000008,61789.46232000007,61798.94623199989,15,0.0,15__0,11,Computer and Technology,Internet - Software
AFG,1,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,0,0.0,0__0,14,Finance,Insurance - Property and Casualty
AFL,208,14316.000000000007,28629.649999999725,132603.75000000038,175395.82500000022,181362.08249999984,181958.70824999988,182018.37082499944,25,1.0,25__1,9,Finance,Insurance - Accident and Health
AFRM,20984,16250.0,25590.299999999974,67594.95999999915,490661.49999999837,4274090.999998189,4545000.0,4545000.0,45,1.0,45__1,5,Computer and Technology,Internet - Software
AFYA,1,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,0,0.0,0__0,14,Consumer Discretionary,Schools
AG,294,12125.999999999998,15069.999999999993,33305.85999999996,47294.899999999994,47479.49000000001,47497.94900000001,47499.7949,25,1.0,25__1,9,Basic Materials,Mining - Silver
AGCO,26,18750.0,29745.000000000004,51765.0,58096.500000000044,58729.649999999965,58792.96500000007,58799.296499999975,15,0.0,15__0,11,Industrial Products,Manufacturing - Farm Equipment
AGEN,45,7735.200000000002,10143.999999999996,13952.000000000004,14625.200000000004,14692.520000000006,14699.252000000004,14699.925199999996,15,0.0,15__0,11,Medical,Medical - Biomedical and Genetics
AGI,150,12312.499999999998,14489.999999999998,24774.999999999978,35267.38999999999,36727.73899999988,36873.77390000011,36888.377390000074,20,0.0,20__0,10,Basic Materials,Mining - Gold
AGIO,28,40000.0,52349.99999999997,88930.00000000001,98892.99999999996,99889.29999999997,99988.92999999998,99998.89300000003,15,0.0,15__0,11,Medical,Medical - Biomedical and Genetics
AGL,11,17989.999999999996,38995.0,55799.000000000015,59579.90000000001,59957.99000000002,59995.799000000006,59999.57990000001,10,0.0,10__0,12,Medical,Medical Services
AGM,2,13820.0,14410.0,14882.0,14988.2,14998.82,14999.882000000001,14999.9882,5,3.0,5__3,13,Finance,Financial - Mortgage & Related Services
AGNC,379,16343.599999999999,34993.0,92199.99999999971,116220.00000000015,119621.99999999996,119962.19999999994,119996.21999999988,25,1.0,25__1,9,Finance,REIT and Equity Trust
AGO,42,5036.0,9018.999999999989,155722.09999999916,240293.21000000072,248750.32099999973,249596.03210000112,249680.6032099993,15,0.0,15__0,11,Finance,Insurance - Multi line
AGRO,7,11880.000000000007,17399.999999999985,21815.99999999999,22809.599999999995,22908.959999999992,22918.896000000008,22919.889600000002,10,0.0,10__0,12,Consumer Staples,Agriculture - Operations
AGX,459,13865.6,22505.999999999996,42420.000000000015,159772.99999999648,213977.30000000188,219397.73000000318,219939.7729999951,25,1.0,25__1,9,Construction,Building Products - Miscellaneous
AGYS,16,9000.0,17350.0,29229.999999999993,31902.99999999999,32170.3,32197.030000000006,32199.702999999976,10,0.0,10__0,12,Computer and Technology,Computer - Integrated Systems
AHCO,5,13076.000000000002,13468.000000000002,13781.600000000002,13852.160000000002,13859.216000000002,13859.921600000001,13859.992160000002,5,3.0,5__3,13,Medical,Medical - Products
AHR,2,10047.5,10336.25,10567.25,10619.225,10624.4225,10624.94225,10624.994225,5,0.0,5__0,13,Finance,REIT and Equity Trust - Other
AHT,1,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,0,0.0,0__0,14,Finance,REIT and Equity Trust - Other
AI,7874,18400.0,38791.199999999764,325000.0,1244864.46000009,2362155.2850000053,2453950.528500095,2463130.0528499386,40,2.0,40__2,6,Computer and Technology,Computers - IT Services
AIG,758,13786.000000000002,21462.749999999985,38466.74999999977,143611.77000000436,201106.67700000136,206856.16770000107,207431.11676999816,30,0.0,30__0,8,Finance,Insurance - Multi line
AIOT,22,79818.00000000001,89526.0,107774.99999999999,112027.49999999999,112452.75000000003,112495.27500000002,112499.5275,15,0.0,15__0,11,Transportation,Transportation - Services
AIP,9,10792.0,11376.0,11843.2,11948.32,11958.832,11959.8832,11959.98832,10,0.0,10__0,12,Computer and Technology,Internet - Software
AIR,37,7231.5999999999985,9140.0,11371.200000000003,12369.119999999995,12468.912000000004,12478.891199999998,12479.889119999996,15,0.0,15__0,11,Aerospace,Aerospace - Defense Equipment
AIRG,1,8680.000000000002,8680.000000000002,8680.000000000002,8680.000000000002,8680.000000000002,8680.000000000002,8680.000000000002,0,2.0,0__2,14,Computer and Technology,Communication - Components
AIRS,1,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,0,2.0,0__2,14,Business Services,Technology Services
AISP,92,8777.500000000002,11496.750000000005,19439.700000000008,21347.970000000016,21538.796999999995,21557.879700000027,21559.78797000001,20,0.0,20__0,10,Business Services,Technology Services
AIT,58,12348.000000000002,13117.5,21763.0,23866.299999999992,24076.630000000012,24097.663000000015,24099.766300000007,20,0.0,20__0,10,Industrial Products,Manufacturing - General Industrial 
AIZ,4,12078.000000000004,13778.999999999998,15139.8,15445.980000000001,15476.598,15479.659800000005,15479.965980000003,5,3.0,5__3,13,Finance,Insurance - Multi line
AJG,640,10038.900000000001,14874.599999999995,39357.45,101284.24999999996,103728.42500000005,103972.84249999996,103997.2842500001,30,0.0,30__0,8,Finance,Insurance - Brokerage
AKAM,1416,17067.5,25425.0,124250.99999999804,884902.500000006,1170342.000000012,1202434.2000000067,1205643.420000012,30,2.0,30__2,8,Computer and Technology,Internet - Services
AKBA,1,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,0,0.0,0__0,14,Medical,Medical - Drugs
AKR,1,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,0,0.0,0__0,14,Finance,REIT and Equity Trust - Retail
AKRO,394,17129.199999999997,20499.999999999996,46448.39999999994,463566.3280000155,661533.6328000175,681330.3632800176,683310.0363279827,25,1.0,25__1,9,Medical,Medical - Biomedical and Genetics
AL,26,9495.0,11062.499999999998,14875.0,15887.500000000005,15988.749999999995,15998.875000000011,15999.887499999997,15,0.0,15__0,11,Transportation,Transportation - Equipment and Leasing
ALAB,10290,17127.500000000007,27032.999999999953,105061.85000000136,699197.3269999626,1697866.6887000487,3404508.9999997797,3580450.9000003235,40,0.0,40__0,6,Computer and Technology,Internet - Software
ALB,3027,14575.0,24397.899999999998,67669.09999999964,333910.33000000234,532569.4448000028,580433.7444800002,585220.174448024,35,0.0,35__0,7,Basic Materials,Chemical - Diversified 
ALC,252,42860.50000000001,87299.99999999984,221115.00000000058,337051.2999999999,342405.1299999998,342940.513,342994.0512999995,25,0.0,25__0,9,Medical,Medical - Instruments
ALDX,37,14820.0,16004.999999999985,39623.080000000016,50152.10799999996,51205.01080000004,51310.30107999998,51320.83010799995,15,0.0,15__0,11,Medical,Medical - Drugs
ALEC,24,7549.999999999999,9568.249999999996,48464.34999999998,58846.43500000001,59884.64350000009,59988.46435000008,59998.84643499988,15,0.0,15__0,11,Medical,Medical - Biomedical and Genetics
ALEX,1,9280.000000000002,9280.000000000002,9280.000000000002,9280.000000000002,9280.000000000002,9280.000000000002,9280.000000000002,0,2.0,0__2,14,Finance,REIT and Equity Trust - Other
ALGM,318,15399.500000000007,22601.999999999985,80877.59999999999,660734.9999999997,673573.5,674857.3499999995,674985.7350000002,25,1.0,25__1,9,Computer and Technology,Electronics - Semiconductors
ALGN,1824,15500.0,23867.999999999993,64518.779999999904,266607.2399999983,603268.5960000232,667826.8596000382,674282.685959977,35,0.0,35__0,7,Medical,Medical - Dental Supplies
ALGS,1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,0,0.0,0__0,14,Medical,Medical - Biomedical and Genetics
ALGT,63,21861.000000000015,25956.0,35995.600000000006,37457.560000000005,37603.756,37618.37560000001,37619.83756,20,0.0,20__0,10,Transportation,Transportation - Airline
ALHC,70,136085.6,157247.3,266164.6000000006,434244.45999999926,451052.44599999953,452733.24460000225,452901.324460001,20,2.0,20__2,10,Medical,Medical Services
ALIT,76,14874.999999999998,26246.25,59375.0,118437.49999999975,124343.7500000006,124934.3750000003,124993.43750000041,20,0.0,20__0,10,Computer and Technology,Internet - Software
ALK,707,18576.0,38505.49999999998,384199.1999999968,1161901.9999999856,1691190.199999989,1744119.01999998,1749411.9019999695,30,2.0,30__2,8,Transportation,Transportation - Airline
ALKS,49,40414.40000000006,90895.99999999996,129583.99999999991,137446.39999999994,138232.63999999993,138311.26400000005,138319.12639999998,15,0.0,15__0,11,Medical,Medical - Biomedical and Genetics
ALKT,53,9990.000000000004,15077.999999999993,48407.99999999982,75715.80000000002,78446.57999999987,78719.65800000032,78746.96579999979,15,0.0,15__0,11,Computer and Technology,Internet - Software
ALL,533,18992.2,27749.999999999993,77754.99999999988,253759.99999999726,287276.0000000037,290627.60000000114,290962.7599999985,25,1.0,25__1,9,Finance,Insurance - Property and Casualty
ALLE,6,6220.0,7129.999999999999,7858.0,8021.799999999999,8038.18,8039.817999999999,8039.9818,10,0.0,10__0,12,Industrial Products,Security and Safety Services
ALLO,10,16963.8,19941.899999999994,22324.38,22860.438,22914.043800000003,22919.40438,22919.940437999998,10,0.0,10__0,12,Medical,Medical - Biomedical and Genetics
ALLT,19,10849.2,11321.399999999994,13304.28,13750.427999999998,13795.042800000001,13799.50428,13799.950427999998,15,0.0,15__0,11,Business Services,Technology Services
ALLY,768,18549.000000000113,33742.39999999998,132526.2400000002,279143.99999999115,395114.40000000683,406711.44000000646,407871.14400000067,30,0.0,30__0,8,Finance,Financial - Consumer Loans
ALNY,1103,17468.800000000014,30420.39999999995,92872.32000000012,513909.9999999737,1093451.4999999523,1154695.1500000514,1160819.5150000332,30,2.0,30__2,8,Medical,Medical - Biomedical and Genetics
ALRM,14,31440.000000000036,43225.0,45045.0,45454.5,45495.45,45499.545000000006,45499.9545,10,0.0,10__0,12,Industrial Products,Security and Safety Services
ALSN,26,22750.0,38625.0,55500.0,59550.00000000003,59954.99999999998,59995.500000000044,59999.54999999999,15,0.0,15__0,11,Auto-Tires-Trucks,Automotive - Original Equipment
ALT,518,12036.0,17313.24999999998,44289.99999999995,298118.6999999816,460461.8700000061,476696.1869999927,478319.61869997944,25,1.0,25__1,9,Medical,Medical - Drugs
ALTG,2,9889.5,10107.25,10281.45,10320.645,10324.5645,10324.95645,10324.995644999999,5,0.0,5__0,13,Industrial Products,Manufacturing - General Industrial 
ALTO,2,7043.400000000001,7249.2,7413.84,7450.884,7454.5884,7454.95884,7454.995884,5,0.0,5__0,13,Consumer Discretionary,Consumer Products - Discretionary
ALTS,17,8120.000000000001,9840.0,9968.0,9996.8,9999.68,9999.968,9999.9968,10,0.0,10__0,12,Finance,Financial - Miscellaneous Services
ALUR,2,4770.0,4785.0,4797.0,4799.7,4799.97,4799.997,4799.9997,5,0.0,5__0,13,Medical,Medical - Products
ALV,14,7237.500000000001,9157.499999999998,11731.499999999996,12310.65,12368.564999999997,12374.356500000007,12374.935649999996,10,0.0,10__0,12,Auto-Tires-Trucks,Automotive - Original Equipment
ALXO,4,4975.0,4975.0,4975.0,4975.0,4975.0,4975.0,4975.0,5,0.0,5__0,13,Medical,Medical - Biomedical and Genetics
AM,8,6001.499999999999,7000.749999999998,7800.15,7980.015000000001,7998.001499999999,7999.80015,7999.980015,10,0.0,10__0,12,Oils-Energy,Oil and Gas - Integrated - United States
AMAT,14927,16050.0,24599.999999999996,74466.19999999997,201954.09000001036,704448.3900001841,992663.6609999884,1003766.3661000138,40,1.0,40__1,6,Computer and Technology,Electronics - Semiconductors
AMBA,558,12000.0,18582.949999999983,30362.49999999981,300977.3999999941,482347.7399999994,500484.77400002873,502298.4773999741,25,1.0,25__1,9,Computer and Technology,Electronics - Semiconductors
AMBC,45,47988.0,90023.99999999985,197470.0,199747.00000000003,199974.7,199997.47,199999.74699999997,15,0.0,15__0,11,Finance,Insurance - Property and Casualty
AMBR,1,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0,0,2.0,0__2,14,Business Services,Technology Services
AMC,2197,9671.200000000004,13400.999999999993,25179.119999999988,61575.97200000028,83471.54720000263,88663.15471999907,89182.31547200232,35,0.0,35__0,7,Consumer Discretionary,Leisure and Recreation Services
AMCR,8,8803.199999999999,10323.599999999999,11539.92,11813.592000000002,11840.959200000001,11843.695920000002,11843.969592000001,10,0.0,10__0,12,Industrial Products,Containers - Paper and Packaging
AMCX,7,5996.000000000001,6622.999999999998,7124.5999999999985,7237.459999999999,7248.745999999999,7249.874600000001,7249.98746,10,0.0,10__0,12,Consumer Discretionary,Broadcast Radio and Television
AMD,233088,15000.0,23084.649999999994,60000.0,323895.60000000056,1159951.1355000224,1919140.4100013606,2573888.399365627,55,0.0,55__0,3,Computer and Technology,Computer - Integrated Systems
AME,92,20180.0,45375.00000000005,107181.0,107918.1,107991.81,107999.18100000001,107999.9181,20,0.0,20__0,10,Computer and Technology,Electronics - Testing Equipment
AMED,31,45000.0,62500.0,75000.0,75000.0,75000.0,75000.0,75000.0,15,0.0,15__0,11,Medical,Medical - Outpatient and Home Healthcare
AMG,3,8566.0,9033.0,9406.6,9490.66,9499.066,9499.9066,9499.99066,5,0.0,5__0,13,Finance,Financial - Investment Management
AMGN,8309,16800.4,26519.39999999999,77918.40000000018,399789.99999994814,963243.3844001036,1246260.6384398728,1274562.3638438496,40,0.0,40__0,6,Medical,Medical - Biomedical and Genetics
AMH,1,3680.0000000000005,3680.0000000000005,3680.0000000000005,3680.0000000000005,3680.0000000000005,3680.0000000000005,3680.0000000000005,0,0.0,0__0,14,Finance,REIT and Equity Trust - Residential
AMKR,97,17910.000000000007,39683.99999999998,276783.9999999997,310998.39999999985,314419.83999999973,314761.9840000003,314796.19840000005,20,1.0,20__1,10,Computer and Technology,Electronics - Semiconductors
AMLX,2,4427.5,4488.75,4537.75,4548.775,4549.8775,4549.98775,4549.998775,5,0.0,5__0,13,Medical,Medical - Drugs
AMN,52,11093.999999999998,16799.399999999994,30192.190000000028,36724.218999999975,37377.421900000016,37442.74219000002,37449.27421900001,15,0.0,15__0,11,Medical,Medical Services
AMP,194,13167.000000000002,16487.5,28135.79999999999,32409.419999999966,32940.94200000004,32994.094200000036,32999.40942000001,25,1.0,25__1,9,Finance,Financial - Investment Management
AMPL,40,10771.000000000005,14544.0,97349.99999999993,144734.9999999998,149473.4999999998,149947.35000000056,149994.73499999987,15,0.0,15__0,11,Business Services,Technology Services
AMPX,43,9101.000000000002,10168.000000000002,13927.79999999999,16161.77999999999,16385.178000000014,16407.51780000001,16409.751779999995,15,0.0,15__0,11,Business Services,Technology Services
AMPY,4,32097.30000000001,37048.649999999994,41009.729999999996,41900.973000000005,41990.0973,41999.00973000001,41999.90097300001,5,1.0,5__1,13,Oils-Energy,Oil and Gas - Exploration and Production - United States
AMR,392,11595.000000000002,15000.0,28971.839999999927,35413.49999999997,35941.34999999997,35994.13500000006,35999.413499999944,25,1.0,25__1,9,Basic Materials,Mining - Miscellaneous
AMRC,18,11540.500000000002,17405.999999999967,32461.19999999996,35848.62000000001,36187.36200000001,36221.236199999985,36224.623620000006,15,0.0,15__0,11,Oils-Energy,Alternative Energy - Other
AMRK,133,12915.999999999998,16199.999999999996,54148.20000000029,234580.09999999905,257458.0099999977,259745.8010000014,259974.5800999985,20,0.0,20__0,10,Consumer Discretionary,Precious Metals and Jewels
AMRN,3,7716.000000000001,8170.5,8534.1,8615.91,8624.091,8624.9091,8624.99091,5,0.0,5__0,13,Medical,Medical - Biomedical and Genetics
AMRX,15,13186.999999999995,44015.999999999905,91375.19999999994,102031.02000000005,103096.60199999996,103203.16019999998,103213.81601999997,10,0.0,10__0,12,Medical,Medical - Drugs
AMSC,327,11072.000000000004,16090.199999999993,44706.70000000001,134917.71199999837,156684.47119999983,158861.14711999914,159078.8147119978,25,1.0,25__1,9,Computer and Technology,Electronics - Miscellaneous Components
AMT,589,25681.60000000003,52722.000000000095,119171.20000000016,459082.8000000096,605618.2799999947,620271.8280000184,621737.1828000018,30,2.0,30__2,8,Finance,REIT and Equity Trust - Other
AMTM,451,23400.0,51375.0,129000.0,312408.750000002,382240.87499999726,389224.08749999874,389922.4087499999,25,1.0,25__1,9,Construction,Engineering - R and D Services
AMTX,4,4949.0,4974.5,4994.9,4999.49,4999.949,4999.9949,4999.99949,5,0.0,5__0,13,Oils-Energy,Biofuels
AMWD,6,16740.0,17370.0,17874.0,17987.4,17998.74,17999.874,17999.9874,10,0.0,10__0,12,Consumer Discretionary,Furniture
AMWL,1,5750.0,5750.0,5750.0,5750.0,5750.0,5750.0,5750.0,0,0.0,0__0,14,Medical,Medical Info Systems
AMZN,318573,17080.0,26639.999999999996,69000.0,287020.680000055,1181037.821600248,2541338.3525993493,3439319.2495744904,55,0.0,55__0,3,Computer and Technology,Internet - Software and Services
AN,146,9870.0,16165.5,34660.50000000006,54102.029999999795,56710.20300000004,56971.02029999989,56997.10202999993,20,0.0,20__0,10,Retail-Wholesale,Automotive - Retail and Whole Sales
ANAB,302,29708.00000000009,45091.49999999996,202245.95000000013,695970.0000000003,704096.9999999999,704909.7000000012,704990.9699999989,25,0.0,25__0,9,Medical,Medical - Biomedical and Genetics
