security,num_trades,p900000_trade_value,p950000_trade_value,p990000_trade_value,p999000_trade_value,p999900_trade_value,p999990_trade_value,p999999_trade_value,trade_volume_bin,cluster,final_cluster,trade_volume_bin_rank,sector,industry
A,585,17500.0,30695.99999999996,144761.2799999981,306042.0480000048,352716.9047999995,357384.390480007,357851.1390479997,30,1.0,30__1,8,Medical,Medical - Products
AA,1635,17360.800000000017,30453.299999999967,107620.00000000057,840000.0,840000.0,840000.0,840000.0,30,1.0,30__1,8,Industrial Products,Metal Products - Distribution
AAL,4083,14817.400000000005,23833.999999999996,87637.4799999999,817032.0000000029,1012641.6000000463,1127264.1600000898,1138726.4160000233,35,2.0,35__2,7,Transportation,Transportation - Airline
AAOI,1826,18000.0,26803.750000000004,51815.00000000001,276394.4999999999,365325.9375000116,382839.09375001566,384590.4093749942,35,0.0,35__0,7,Computer and Technology,Electronics - Semiconductors
AAON,59,35697.600000000006,49727.499999999985,61050.00000000001,62355.0,62485.5,62498.55,62499.854999999996,20,0.0,20__0,10,Construction,Building Products - Air Conditioner and Heating
AAP,1663,14290.599999999995,24192.399999999983,67657.07999999974,238815.1439999999,308854.31520000903,321135.4315200102,322363.5431519898,30,2.0,30__2,8,Retail-Wholesale,Automotive - Retail and Wholesale - Parts
AAPL,435787,16600.0,25350.0,64500.0,246036.1659999963,787365.9247998828,1645436.6272006556,2375785.858113568,55,0.0,55__0,3,Computer and Technology,Computer - Micro Computers
AB,11,16000.0,19250.0,21850.000000000004,22435.0,22493.500000000004,22499.350000000002,22499.935,10,0.0,10__0,12,Finance,Financial - Investment Management
ABAT,21,6894.999999999999,7000.0,7800.000000000001,7980.0,7998.000000000001,7999.8,7999.9800000000005,15,0.0,15__0,11,Computer and Technology,Electronics - Miscellaneous Products
ABBV,7140,15498.199999999999,24454.34999999998,71902.49999999991,324818.5124999947,1247149.8000000045,1258714.9799999988,1259871.497999995,40,0.0,40__0,6,Medical,Large Cap Pharmaceuticals
ABCL,3,6088.0,6419.0,6683.8,6743.38,6749.338,6749.933800000001,6749.99338,5,0.0,5__0,13,Medical,Medical - Biomedical and Genetics
ABEO,42,11869.999999999998,14519.999999999993,24242.71999999997,27271.472000000027,27574.34719999999,27604.63472000004,27607.663471999975,15,0.0,15__0,11,Medical,Medical - Biomedical and Genetics
ABG,25,31500.0,46619.99999999994,56935.99999999998,58793.59999999999,58979.359999999986,58997.936000000016,58999.793600000005,15,0.0,15__0,11,Retail-Wholesale,Automotive - Retail and Whole Sales
ABL,1,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,0,2.0,0__2,14,Finance,Insurance - Life Insurance
ABM,17,14300.000000000004,43999.99999999991,120799.99999999999,138080.0,139808.00000000003,139980.80000000008,139998.07999999996,10,3.0,10__3,12,Business Services,Business - Services
ABNB,9314,16800.0,27417.50000000002,118540.35000000024,359987.8039999998,793032.334999895,1251553.2335003875,1297405.3233497401,40,0.0,40__0,6,Consumer Discretionary,Leisure and Recreation Services
ABR,259,29251.200000000015,72613.49999999999,170644.4999999998,290490.00000000175,312548.99999999965,314754.9000000032,314975.4899999971,25,2.0,25__2,9,Finance,REIT and Equity Trust
ABSI,42,7436.000000000001,7955.999999999999,13971.239999999972,16752.024000000023,17030.102399999992,17057.910240000037,17060.691023999978,15,0.0,15__0,11,Medical,Medical - Biomedical and Genetics
ABT,2260,13992.800000000003,21400.0,70835.78999999995,397731.6349999999,451674.8000000025,457367.479999999,457936.74800000375,35,0.0,35__0,7,Medical,Medical - Products
ABUS,3,5940.0,6135.0,6291.0,6326.1,6329.61,6329.961,6329.9961,5,0.0,5__0,13,Medical,Medical - Biomedical and Genetics
ACA,11,46575.0,60637.5,71887.50000000001,74418.75,74671.87500000001,74697.1875,74699.71875000001,10,0.0,10__0,12,Construction,Building Products - Miscellaneous
ACAD,93,10727.999999999995,27957.999999999924,141939.99999999997,151669.00000000003,152641.90000000008,152739.1900000001,152748.91899999988,20,0.0,20__0,10,Medical,Medical - Biomedical and Genetics
ACB,45,12704.200000000006,19195.99999999999,21784.72000000001,22957.67200000001,23074.96720000001,23086.696720000007,23087.869671999993,15,0.0,15__0,11,Medical,Medical - Products
ACDC,21,7440.000000000001,11025.0,11949.0,12156.9,12177.69,12179.769,12179.976900000001,15,0.0,15__0,11,Oils-Energy,Oil and Gas - Field Services
ACGL,127,8505.000000000004,13828.499999999978,30421.29999999998,50601.1499999999,53093.11500000019,53342.31150000027,53367.23114999982,20,0.0,20__0,10,Finance,Insurance - Property and Casualty
ACHC,178,16824.400000000012,34262.00000000001,101304.3999999991,193904.16000000024,198670.4160000003,199147.0416000002,199194.70415999976,25,0.0,25__0,9,Medical,Medical - Hospital
ACHR,4832,11694.000000000033,16543.499999999993,34770.23999999996,86741.82999999999,120252.73779998487,137714.77377999484,139460.97737799218,35,0.0,35__0,7,Aerospace,Aerospace - Defense
ACI,410,19275.50000000002,38982.9999999999,100000.0,310000.0,310000.0,310000.0,310000.0,25,0.0,25__0,9,Consumer Staples,Consumer Products - Staples
ACIC,17,6300.000000000001,7230.0,7326.0,7347.6,7349.76,7349.976,7349.9976,10,0.0,10__0,12,Finance,Insurance - Property and Casualty
ACIW,2,5044.4,5130.2,5198.84,5214.284,5215.8284,5215.98284,5215.998284,5,0.0,5__0,13,Computer and Technology,Computer - Software
ACLS,329,19847.99999999999,38618.99999999996,113942.59999999873,233964.15200000117,247496.41519999958,248849.64152000178,248984.96415199887,25,0.0,25__0,9,Computer and Technology,Electronics - Manufacturing Machinery
ACLX,223,42860.000000000124,167999.9999999984,240000.0,448939.9999999981,494894.00000000047,499489.40000000136,499948.9399999982,25,2.0,25__2,9,Medical,Medical - Biomedical and Genetics
ACM,37,8729.0,9720.999999999995,24837.000000000015,32183.699999999968,32918.37000000003,32991.836999999985,32999.183699999965,15,0.0,15__0,11,Construction,Engineering - R and D Services
ACMR,490,17838.000000000004,23416.5,48036.96000000001,67034.20000000029,72403.41999999995,72940.34200000014,72994.0341999998,25,0.0,25__0,9,Computer and Technology,Semiconductor Equipment - Material Services
ACN,3962,13998.6,19798.999999999996,52846.79999999998,243553.17400000332,672078.0000000014,679207.8000000038,679920.7800000022,35,0.0,35__0,7,Computer and Technology,Computers - IT Services
ACNT,1,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,0,2.0,0__2,14,Industrial Products,Manufacturing - General Industrial 
ACRS,4,4640.0,4820.0,4964.0,4996.4,4999.639999999999,4999.964,4999.9964,5,0.0,5__0,13,Medical,Medical - Drugs
ACVA,57,8277.0,16259.999999999864,104704.39999999992,121530.44000000009,123213.04399999997,123381.3044,123398.13043999998,20,0.0,20__0,10,Retail-Wholesale,Internet - Commerce
ADBE,47042,16214.200000000012,25499.999999999996,70424.44999999946,252510.6090000009,943595.3499997704,1652566.5873505536,1694761.6587352003,45,1.0,45__1,5,Computer and Technology,Computer - Software
ADC,4,6622.0,6811.0,6962.2,6996.22,6999.621999999999,6999.9622,6999.99622,5,0.0,5__0,13,Finance,REIT and Equity Trust - Retail
ADCT,1,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,0,2.0,0__2,14,Medical,Medical - Biomedical and Genetics
ADI,2514,20735.000000000015,34823.249999999956,90978.74999999988,368288.2240000005,452128.4334000039,461012.84334000037,461901.28433400363,35,2.0,35__2,7,Computer and Technology,Semiconductor - Analog and Mixed
ADM,325,11310.00000000001,16547.4,79772.07999999971,363583.3499999974,425158.33500000095,431315.8334999989,431931.5833499927,25,0.0,25__0,9,Consumer Staples,Agriculture - Operations
ADMA,313,21000.0,50000.0,388766.3999999997,660559.5839999997,668574.4583999997,669375.945840001,669456.0945839997,25,2.0,25__2,9,Medical,Medical - Biomedical and Genetics
ADNT,12,12575.700000000003,12745.150000000001,12757.03,12759.703,12759.9703,12759.99703,12759.999703,10,0.0,10__0,12,Auto-Tires-Trucks,Automotive - Original Equipment
ADP,509,14278.199999999999,20198.999999999978,60245.280000000246,155500.66000000047,166750.06600000046,167875.0066000009,167987.50065999938,25,0.0,25__0,9,Computer and Technology,Internet - Software
ADSK,4163,13446.60000000001,21223.49999999994,51789.840000000055,184574.9119999993,344365.1500000622,413381.51500000624,420283.1514999671,35,0.0,35__0,7,Computer and Technology,Internet - Software
ADT,13,16620.000000000004,17840.0,17840.0,17840.0,17840.0,17840.0,17840.0,10,0.0,10__0,12,Industrial Products,Security and Safety Services
ADTN,14,11319.000000000004,13126.749999999998,13909.35,14085.435000000001,14103.043500000002,14104.804350000004,14104.980435000001,10,0.0,10__0,12,Business Services,Technology Services
ADUS,39,8896.000000000002,11463.000000000004,19649.99999999998,22215.000000000025,22471.500000000015,22497.15,22499.714999999975,15,0.0,15__0,11,Medical,Medical - Outpatient and Home Healthcare
AEE,43,12000.0,16011.899999999998,19227.6,19783.26,19838.826000000005,19844.3826,19844.93826,15,0.0,15__0,11,Utilities,Utility - Electric Power
AEHR,175,10000.0,11254.499999999998,18399.899999999954,25361.819999999978,25999.181999999968,26062.91820000007,26069.29181999994,20,0.0,20__0,10,Computer and Technology,Electronics - Measuring Instruments
AEIS,136,19180.0,36675.0,243124.5000000002,456358.05000000214,484493.80500000156,487307.38049999956,487588.73805,20,2.0,20__2,10,Computer and Technology,Semiconductor Equipment - Wafer Fabrication
AEM,1856,13500.0,20932.5,78702.25000000028,321104.9999999991,1679965.8644999233,1949907.486449992,1976901.6486450357,35,1.0,35__1,7,Basic Materials,Mining - Gold
AEO,371,14945.999999999998,26519.0,182500.0000000003,230199.6799999998,246162.36800000106,247758.6368000009,247918.26367999846,25,0.0,25__0,9,Retail-Wholesale,Retail - Apparel and Shoes
AEP,240,13749.999999999985,24586.749999999993,126338.50999999985,153431.27999999997,154825.12800000003,154964.51280000005,154978.45128000004,25,0.0,25__0,9,Utilities,Utility - Electric Power
AER,238,14858.6,31913.249999999993,210399.05999999982,302557.5000000003,313755.75000000047,314875.57500000077,314987.55750000005,25,0.0,25__0,9,Transportation,Transportation - Equipment and Leasing
AES,522,19091.00000000002,31488.749999999996,92500.0,168139.80800000255,196813.98080000025,199681.3980800049,199968.139807997,25,0.0,25__0,9,Utilities,Utility - Electric Power
AESI,16,7450.0,8125.0,9625.0,9962.499999999998,9996.25,9999.625,9999.962499999998,10,0.0,10__0,12,Oils-Energy,Oil and Gas - Integrated - United States
